ഏതു ethu
നിസ്സാര nissara
സംഭവവികാസങ്ങളിലും sambhavavikasangalilum
ബിസിനസ്സിന്റെ bisinassinte
അനന്തസാദ്ധ്യതകൾ anantharasaddhyathakal
മണത്തറിയാനുള്ള manathariyanulla
പ്രത്യേക prathyeka
കഴിവ് kazhivu
ത്രേസ്യാമ്മയ്ക്ക് thressyamakku
ജന്മനാലുള്ളതാണ് janmanalullathanu
ചിലപ്പോൾ chilappol
ജോസഫേട്ടന്റെ josaphettante
ഭാഗ്യത്തിന്നതു bhagyathinnathu
അപൂർവ്വമായേ apoorvamaye
പുറത്തേയ്ക്കു purathekku
വരാറുള്ളുവെന്നു vararulluvennu
മാത്രം mathram
ജോമോൻ jomon
ദുബായിൽനിന്ന് dubayilninnu
വന്നപ്പോൾ vannapol
ഒരു oru
സോണി sony
ട്രിനിട്രോൺ trinitron
ടിവിയും teeviyum
പാന pana
സോണിക് sonic
വിസിയാറും visiyarum
കൊണ്ടുവന്നതുതൊട്ട് konduvannathuthottu
ത്രേസ്യാമ്മ thresyamma
ആലോചിച്ചുകൊണ്ടിരുന്നത് alochichukondirunnathu
അതിന്റെ athinte
കച്ചവട kachavada
സാധ്യതകളെപ്പറ്റിയായിരുന്നു sadhyathakalepattiyayirunnu
ഇതിനു ithinu
രണ്ടിനുംകൂടി randinumkoodi
ഒത്തിരി othiri
രൂപയായിട്ടുണ്ടാവില്ലെടാ roopayayittundavilleda
ജോമോനെ? jomone?
അവർ avar
മകനോട് makanodu
ചോദിച്ചു chodichu
അത്രയൊന്നും athrayonnum
ഇല്ല illa
അമ്മച്ചി ammachi
അവൻ avan
പറഞ്ഞു paranju
ടിവിക്ക് tivikku
മുന്നൂറ്റമ്പത് munnootampathu
റിയാല് riyalu
വിസിയാറിന്ന് visiyarinu
മുന്നൂറ് munnooru
റിയാല് riyalu
ലീവിൽ leevil
വരുന്ന varunna
മറ്റു matu
ഗൾഫുകാരെപ്പോലെ galfukarepole
ജോമോനും jomonum
റിയാലിലാണ് riyalilanu
കണക്കുകൾ kanakkukal
പറഞ്ഞിരുന്നത് paranjirunnathu
രൂപയുടെ roopayude
കണക്ക് kanakku
ആരെങ്കിലും aarenkilum
പറഞ്ഞാൽത്തന്നെ paranjalthanne
ഉടനെ udane
അത് athu
റിയാലിലാക്കി riyalilakki
പറയും parayum
ഈ ee
നെയ്മീൻ neymeen
എന്തുവിലയായി enthuvilayayi
അമ്മച്ചീ? ammaChee?
അറുപത് arupathu
രൂപയായെടാ roopayayeda
മോനേ mone
രണ്ടു randu
റിയാല് riyalu
ലാഭാ labha
അമ്മച്ചി ammachi
അവിടെ avide
ചുരുങ്ങിയത് churungiyathu
എട്ടു ettu
റിയാലെങ്കിലും riyalenkilum
കൊടുക്കണം kodukkanam
ടിവിക്കും tivikkum
വിസിയാറിന്നും visiyarinum
കൂടി koodi
എത്ര ethra
രൂപയായീന്ന് roopayayeennu
പറ para
ഡ്യൂട്ടിയൊക്കെ dyoottiyokke
ഇരുപത്തയ്യായിരം erupathayyayiram
രൂപ roopa
ഇരുപത്തയ്യായിരം erupathayyayiram
രൂപ roopa
ജോസഫേട്ടൻ josaphettan
തലയിൽ thalayil
കൈവെച്ചു kaivechu
അത്രയും athrayum
രൂപ roopa
ബ്ലേഡിലിട്ടാൽ bledilittal
എന്തു enthu
പലിശ palisha
കിട്ടും kittum
ബ്ലേഡീന്ന് bledeennu
വാങ്ങീട്ടൊന്നും vangeettonnum
വേണ്ട venda
അപ്പച്ചന് appachanu
കഴിയാൻ kazhiyan
അപ്പച്ചനും appachanum
അമ്മച്ചിക്കും ammachikkum
ഈ ee
വയസ്സുകാലത്ത് vayassukalathu
ഒരുഭാഗത്തിരുന്ന് orubhagathirunnu
രസിക്കാനാ rasikkana
ഞാൻ njan
സാധനം sadhanam
കൊണ്ടന്നത് konduvannathu
സംശയത്തേടെ samshayathede
തലയാട്ടി thalayatti
പക്ഷെ pakshe
മണിക്കൂറിന്നുള്ളിൽ manikkoorinullil
ടെക്‌നിഷ്യൻ teknishyan
വന്ന് vannu
ടിവിക്ക് tivikku
ആൻറിന aantina
ഘടിപ്പിച്ചു ghadippichu
വിസിയാർ visiyar
കണക്ട് kanakt
ചെയ്ത് cheythu
കൊണ്ടുവന്ന konduvanna
കാസറ്റിട്ടതോടെ kasatittathode
സംശയമെല്ലാം samshayamellam
തീർന്നു theernu
രസിക്കാൻ rasikkan
പറ്റിയ patiya
സാധനം sadhanam
സിനിമയുടെ sinimayude
രസത്തിൽ rasathil
രണ്ടര randara
മണിക്കൂർ manikkoor
പോയതറിഞ്ഞില്ല poyatharinjilla
പെട്ടെന്നുറക്കെ pettennurakke
പോഴത്തായി pozhathayi
ഇതിന്റെ ithinte
മുമ്പിലിരുന്നതല്ലെ mumpilirunnathalle
അല്ലാന്നേയ് allanney
നമ്മള് nammalu
കാര്യം karyam
വിട്ടുപോയില്ലെ vittupoyille
കോളനീല്ള്ള kolaneel~lla
പിള്ളാരെയൊക്കെ pillareyokke
വിളിച്ച് vilichu
കാണിക്കായിരുന്നു kanikkayirunnu
അത് athu
സാരല്ല്യ sarallya
എന്നാലും ennalum
പോഴത്തായി pozhathayi
പിള്ളേർക്ക് pillerkku
മോഹൻലാലിന്റെ mohanlalinte
പടം padam
നല്ല nalla
ഇഷ്ടാ ishta
കഷ്ടായി kashtayi
അതിനെന്താ athinentha
അമ്മച്ചി ammachee
അവരെ avare
വൈകീട്ട് vaikeettu
കാണിച്ചുകൊടുത്തോ kanichukodutho
ഞാനേതായാലും njanethayalum
പൊറത്തുപോകും porathupokum
അവറ്റ avata
വന്നാപ്പിന്നെ vannappinne
ഇവിടൊന്നും ividonnum
ഇരിക്കാൻ irikkan
പറ്റൂല pattoola
അവറ്റിന്റെ avatinte
നോട്ടോം nottom
മറ്റും matum
കണ്ടാൽ kandal
പിള്ളേര് pilleru
എന്നു ennu
പറയുന്നത് parayunnathu
സ്ത്രീജനങ്ങളെയാണ് sthreejanangaleyanu
ഇരുപത് erupathu
തൊട്ട് thottu
അമ്പതുവരെ ampathuvare
പ്രായമുള്ളവർ prayamullavar
പിന്നെ pinne
അവരുടെ avarude
മക്കളും makkalum
പക്ഷെ pakshe
നമ്മളത് nammalathu
ഇട്ടു ittu
കണ്ടുപോയില്ലെ kandupoyille
അതുകൊണ്ടെന്താ athukondentha
ഇനീം ineem
വെച്ചുകൂടെ vechukoode
അതെങ്ങനാ athengana
ഇപ്പോ ippo
വെച്ചപ്പോ vechappo
അതില്ള്ള athil~lla
സിനിമ്യൊക്കെ sinimyokke
കഴിഞ്ഞിട്ട്ണ്ടാവില്ലെ kazhinjittndaville
അല്ലെടി alledi
മണ്ടി mandi
ഇടപെട്ടു idapettu
ബുദ്ധി buddhi
ത്രേസ്യാമ്മക്കുതന്നെയാണ് thresyammakkuthanneyanu
സമ്മതിച്ചു sammathichu
അറിവും arivum
ലോകപരിചയവും lokaparichayavum
കൂടുക kooduka
