റോമൻ roman
കത്തോലിക്കാ katholikka
സഭ sabha
പൗരസ്ത്യ paurasthya
ഓർത്തഡോക്സ് orthadoks
ഓറിയന്റൽ oriyantal
സഭകൾ sabhakal
തുടങ്ങിയ thudangiya
ക്രിസ്തീയവിഭാഗങ്ങളിൽ kristheeyavibhagangalil
വിശ്വാസികൾ viswasikal
പാപമോചനമാർഗ്ഗമായി papamochanamarggamayi
കരുതി karuthi
അനുഷ്ഠിക്കുന്ന anushtikkunna
ഒരു oru
മതകർമ്മമാണ് mathakarmmamanu
കുമ്പസാരം kumpasaram
അധികാരമുള്ള adhikaramulla
പുരോഹിതനോടോ purohithanodo
ആത്മീയഗുരുവിനോടോ athmeeyagurivinodo
പശ്ചാത്താപത്തോടെ paschathapathode
പാപങ്ങൾ papangal
ഏറ്റുപറയുന്നതാണ് etuparayunnathanu
ഇതിൽ ithil
മുഖ്യമായുള്ളത് mukhyamayullath
കുറ്റവാളികൾ kutavalikal
നിയമപാലകരുടെ niyamapalakarude
മുൻപിൽ munpil
നടത്തുന്ന nadathunna
കുറ്റസമ്മതവുമായി kutasammathavumayi
ഇതിന് ithinu
സമാനതയുണ്ട് samanathayund
പ്രത്യേകമായി prathyekamayi
നിർമ്മിച്ചിട്ടുള്ള nirmichittulla
കുമ്പസാരക്കൂട്ടിലാണ് kumpasarakkoottilanu
മിക്കപ്പോഴും mikkappozhum
ഈ ii
ചടങ്ങ് chadang
നിർവഹിക്കപ്പെടാറുള്ളത് nirvahikkappedarullath
കുമ്പസാരത്തെ kumpasarathe
അനുസ്മരിപ്പിക്കുന്ന anusmarippikkunna
അനുഷ്ഠാനങ്ങളും anushtanangalum
സങ്കല്പങ്ങളും sankalpangalum
കണ്ടെത്താനാകും kandethanakum
ക്രിസ്തുമതത്തിന്റെ kristhumathathinte
കുമ്പസാരം kumpasaram
വിരളമായും viralamayum
അസാധാരണമായ asadharanamaya
സാഹചര്യങ്ങളിൽ sahacharyangalil
മാത്രവും mathravum
നിർവഹിക്കപ്പെടുന്ന nirvahikkapedunna
